old_url,new_url,type,note
https://www.wei-wei-lawyer.com,https://tseng-law.com/ko,exact,홈
https://www.wei-wei-lawyer.com/about-1,https://tseng-law.com/ko,suggested,대응 없음 — 홈으로
https://www.wei-wei-lawyer.com/about-8,https://tseng-law.com/ko,suggested,대응 없음 — 홈으로
https://www.wei-wei-lawyer.com/blog,https://tseng-law.com/ko/columns,suggested,휴리스틱(blog|category|categories) — 사람이 확인
https://www.wei-wei-lawyer.com/blog/categories/대만-법률정보-교통사고-이혼가사-건축-부동-등,https://tseng-law.com/ko/columns,suggested,휴리스틱(blog|category|categories) — 사람이 확인
https://www.wei-wei-lawyer.com/blog/categories/대만-법인설립,https://tseng-law.com/ko/columns,suggested,휴리스틱(blog|category|categories) — 사람이 확인
https://www.wei-wei-lawyer.com/blog/categories/소송사례-분석,https://tseng-law.com/ko/columns,suggested,휴리스틱(blog|category|categories) — 사람이 확인
https://www.wei-wei-lawyer.com/book-online,https://tseng-law.com/ko,suggested,대응 없음 — 홈으로
https://www.wei-wei-lawyer.com/general-clean,https://tseng-law.com/ko/services,suggested,휴리스틱(general-clean|service|business|company|incorporat) — 사람이 확인
https://www.wei-wei-lawyer.com/my-addresses,https://tseng-law.com/ko,suggested,대응 없음 — 홈으로
https://www.wei-wei-lawyer.com/p67epvdewfign56z7,https://tseng-law.com/ko,suggested,대응 없음 — 홈으로
https://www.wei-wei-lawyer.com/post/taiwan-company-establishment-advanced-1,https://tseng-law.com/ko/columns/taiwan-company-establishment-advanced-1,exact,칼럼 slug 확정
https://www.wei-wei-lawyer.com/post/taiwan-company-establishment-advanced-2,https://tseng-law.com/ko/columns/taiwan-company-establishment-advanced-2,exact,칼럼 slug 확정
https://www.wei-wei-lawyer.com/post/taiwan-company-establishment-basics,https://tseng-law.com/ko/columns/taiwan-company-establishment-basics,exact,칼럼 slug 확정
https://www.wei-wei-lawyer.com/post/taiwan-company-setup-pitch-location,https://tseng-law.com/ko/columns/taiwan-company-setup-pitch-location,exact,칼럼 slug 확정
https://www.wei-wei-lawyer.com/post/taiwan-company-subsidiary-vs-branch,https://tseng-law.com/ko/columns/taiwan-company-subsidiary-vs-branch,exact,칼럼 slug 확정
https://www.wei-wei-lawyer.com/post/taiwan-cosmetics-market-entry-company-setup-pif-registration-legal-sales-guide,https://tseng-law.com/ko/columns/taiwan-cosmetics-market-entry-company-setup-pif-registration-legal-sales-guide,exact,칼럼 slug 확정
https://www.wei-wei-lawyer.com/post/taiwan-divorce-lawsuit-qna,https://tseng-law.com/ko/columns/taiwan-divorce-lawsuit-qna,exact,칼럼 slug 확정
https://www.wei-wei-lawyer.com/post/taiwan-gym-injury-lawsuit,https://tseng-law.com/ko/columns/taiwan-gym-injury-lawsuit,exact,칼럼 slug 확정
https://www.wei-wei-lawyer.com/post/taiwan-inheritance-custody-analysis,https://tseng-law.com/ko/columns/taiwan-inheritance-custody-analysis,exact,칼럼 slug 확정
https://www.wei-wei-lawyer.com/post/taiwan-logistics-business-setup,https://tseng-law.com/ko/columns/taiwan-logistics-business-setup,exact,칼럼 slug 확정
https://www.wei-wei-lawyer.com/post/taiwan-mandatory-employment-period,https://tseng-law.com/ko/columns/taiwan-mandatory-employment-period,exact,칼럼 slug 확정
https://www.wei-wei-lawyer.com/post/taiwan-massage-history-law,https://tseng-law.com/ko/columns/taiwan-massage-history-law,exact,칼럼 slug 확정
https://www.wei-wei-lawyer.com/post/taiwan-overtaking-accident-liability,https://tseng-law.com/ko/columns/taiwan-overtaking-accident-liability,exact,칼럼 slug 확정
https://www.wei-wei-lawyer.com/post/taiwan-traffic-accident-procedure,https://tseng-law.com/ko/columns/taiwan-traffic-accident-procedure,exact,칼럼 slug 확정
https://www.wei-wei-lawyer.com/post/withdraw-capital-taiwan-company,https://tseng-law.com/ko/columns/withdraw-capital-taiwan-company,exact,칼럼 slug 확정
https://www.wei-wei-lawyer.com/post/대만-노동법：대만에서-퇴직금-받기-어렵다고,https://tseng-law.com/ko/columns/taiwan-labor-severance-law,exact,칼럼 slug 확정
https://www.wei-wei-lawyer.com/post/직원이-자발적으로-퇴사해도-퇴직금을-받을-수-있는-예외,https://tseng-law.com/ko/columns/taiwan-voluntary-resignation-severance,exact,칼럼 slug 확정
https://www.wei-wei-lawyer.com/service-page/법률자문-상담,https://tseng-law.com/ko/services,suggested,휴리스틱(general-clean|service|business|company|incorporat) — 사람이 확인
https://www.wei-wei-lawyer.com/services-3,https://tseng-law.com/ko/services,suggested,휴리스틱(general-clean|service|business|company|incorporat) — 사람이 확인
https://www.wei-wei-lawyer.com/복제-대표변호사-증준외,https://tseng-law.com/ko,suggested,대응 없음 — 홈으로
https://www.wei-wei-lawyer.com/복제-대표변호사-증준외-1,https://tseng-law.com/ko,suggested,대응 없음 — 홈으로
https://www.wei-wei-lawyer.com/복제-대표변호사-증준외-2,https://tseng-law.com/ko,suggested,대응 없음 — 홈으로
